,header,link,text
0,Stocks - Moneycontrol,https://www.moneycontrol.com/news/business/stocks/,"4 hours ago - Find Latest Business News on Indian Economy, Earnings News including Quarterly & Half Yearly results. Top News on Monetary & Trade Policies, BSE & NSC ..."
1,Market LIVE Updates: Indices recover from day's low helped ...,https://www.moneycontrol.com/news/business/markets/market-live-updates-share-market-live-updates-stock-market-today-july-27-latest-news-bse-nse-sensex-nifty-hdfc-bankicici-bankril-jsw-steel-vodafone-idea-escorts-bhel-itc-cipla-interglobe-avia-5601121.html,"21 mins ago - Benchmark indices has recovered from the day's low point helped by the IT and energy stocks. BPCL, Asian Paints, HCL Tech, Tech Mahindra ..."
2,,https://www.onmarket.com.au/about-us/blog/4-types-of-shares-everyone-needs-to-own/,
3,,https://www.onmarket.com.au/about-us/blog/4-types-of-shares-everyone-needs-to-own/,
4,,https://www.investopedia.com/terms/s/stock.asp,
5,,https://www.investopedia.com/top-stocks-4581225,
6,,https://investinganswers.com/dictionary/s/stock,
7,"What is Stocks? Definition of Stocks, Stocks Meaning - The ...",https://economictimes.indiatimes.com/definition/Stocks,"1 day ago - Definition of 'Stocks'. Definition: A stock is a general term used to describe the ownership certificates of any company. A share, on the other hand, refers to the ..."
8,How Does the Stock Market Work? - Investopedia,https://www.investopedia.com/articles/investing/082614/how-stock-market-works.asp,"Learn how the stock market works, what it means to own stocks, why companies issue stock, and the pros and cons of an exchange listing."
9,Stock - Wikipedia,https://en.wikipedia.org/wiki/Stock,"Stock (also capital stock) of a corporation, is all of the shares into which ownership of the corporation is divided. In American English, the shares are collectively ..."
10,NSE - National Stock Exchange of India Ltd: Live Share/Stock ...,https://www.nseindia.com/,"3 hours ago - NSE India (National Stock Exchange of India Ltd) – LIVE Share/Stock Market Updates Today. Get all latest share market news, live charts, analysis, ipo, ..."
11,Stock Market - The Economic Times,https://m.economictimes.com/markets/stocks,7 hours ago - Stocks Dons of Dalal Street News Live Blog Recos Candlestick Screener Earnings Stock Screener Podcast Market Classroom Market Calendar Stock Price ...
12,"Stock Market Live: Sensex, Nifty off day's low, IT stocks gain ...",https://www.cnbctv18.com/market/stock-market-live-sensex-nifty-bse-nse-sgx-nifty-coronavirus-global-markets-q1-earnings-gold-prices-oil-news-icici-bank-itc-amnuja-cement-biocon-covid-vaccine-cases-us-china-6452931.htm,28 mins ago - Stock Market Live: Indian indices pared opening gains to turn negative on Monday dragged by heavyweight financials like HDFC Bank and ...
13,CNBC-TV18's top stocks to watch out for on July 27 - cnbctv18 ...,https://www.cnbctv18.com/market/stocks/cnbc-tv18s-top-stocks-to-watch-out-for-icici-bank-hdfc-bank-ambuja-cement-reliance-industries-jsw-steel-interglobe-6452951.htm,"6 hours ago - CNBC-TV18's top stocks to watch out for on July 27. Updated : 2020-07-27 08:11:14. The Indian market is likely to open higher as SGX Nifty, an early indicator of ..."
14,"Stocks To Watch: ICICI Bank, JSW Steel, Zee Entertainment ...",https://www.bloombergquint.com/markets/stocks-to-watch-icici-bank-jsw-steel-zee-entertainment-itc-kotak-mahindra-bank-adani-power,"19 hours ago - Stocks To Watch: ICICI Bank, JSW Steel, Zee Entertainment, ITC, Kotak Mahindra Bank, Adani Power. BQ Desk@bloombergquint. Bookmark. Jul ..."
15,"Stock Markets Live: Indian Share/Stock Market News, Data ...",https://www.bloombergquint.com/markets,"3 hours ago - Share/Stock Markets Live - BloombergQuint offers the latest Indian stock/share market live news updates. Stay updated with share market stats, charts & more!"
16,"Stock Market LIVE - BSE, NSE & Nifty | Sensex Share Price ...",https://groww.in/stocks,"Share/Stock Market - LIVE BSE/NSE, Nifty Sensex Share Price, Stock Exchange, Top Gainers and Losers Stocks, Returns and Trading. Get Online Stock Trading ..."
17,"Stock Market News: Stock Market Live, Stock Market Today ...",https://www.business-standard.com/markets-stocks,"stock market, stock market news, stock market today, stock market live, India share market news, India stock market news, hot stocks to buy, stock data analysis, ..."
18,'Dangerous' bets: Indian investors rush into penny stocks ...,https://www.livemint.com/market/stock-market-news/in-dangerous-bets-investors-in-india-rush-into-penny-stocks-below-rs-5-11595565612967.html,3 days ago - A custom index of 800 stocks that quote below ₹5 (7 U.S. cents) has trounced the S&P BSE Sensex index by 33 percentage points this year. The ...
19,"Stock Market Live: BSE(38128.90), NSE(11194.15), Indian ...",https://www.financialexpress.com/market/stock-market/,"3 days ago - Stock Market Live: Get live BSE/NSE sensex share price, top gainers and losers stocks, volume shockers, historical returns, stock exchange ..."
20,"Stocks, Indian Stock/Share Market, Sensex & Nifty Live ...",https://www.goodreturns.in/stocks/,In India once the IPO or Initial Public Offering is complete the shares are than listed on the stock exchanges and you have trading that takes place. These stocks or ...
21,"The Stocks 2 - Best royalty free stock photos, videos, mockups ...",http://thestocks.im/,"The best royalty free stock photos are delivered now along with videos, audios, icons, fonts and colors. A project by @ahmetsulek. For @usepanda."
22,"Stocks, IPOs, Latest Stock Exchange News, Stocks ...",https://www.businesstoday.in/markets/company-stock,"Get the latest information on stocks' performance in the market, IPO update, Latest Stock Exchange News, Stocks performance, Bombay stock exchange, BSE, ..."
23,Stock Market - Countries - List - Trading Economics,https://tradingeconomics.com/stocks,"5 hours ago - Asian stocks opened a quiet session on Tuesday, with investors assessing news that more countries and US states were attending to ease lockdowns measures ..."
24,Stocks - Value Research | Stock Advice | Stock Market Today ...,https://www.valueresearchonline.com/stocks/,"Get stock advice on the best shares to buy based on value, performance and returns."
25,Live Stock Quotes for the Stocks that you want to track ...,https://www.equitymaster.com/stockquotes/mystocks.asp,Add stocks to MyStocks. Please note: The Mystocks service uses cookies. So please enable your browser to accept cookies ...
26,Market Summary – US Stock Market Overview - Marketwatch,https://www.marketwatch.com/tools/marketsummary,"2 days ago - Marketwatch summary - Overview of US stock market with current status of DJIA, Nasdaq, S&P, Dow, NYSE, gold futures and bonds."
27,Stocks - Bloomberg,https://www.bloomberg.com/markets/stocks,"16 hours ago - Updated world stock indexes. Get an overview of major world indexes, current values and stock market data."
28,How to Invest in Stocks - Stock Investing 101 - TheStreet,https://www.thestreet.com/topic/47701/how-to-invest-in-stocks.html,Stocks are an equity investment that represents part ownership in a corporation and entitles you to part of that corporation's earnings and assets. Common stock ...
29,How Stocks and the Stock Market Work | HowStuffWorks,https://money.howstuffworks.com/personal-finance/financial-planning/stocks.htm,A stock market is used for the trading of shares of company stock. Find out how the stock market works and learn about the stock trading process.
30,Trending Stocks - Investing.com India,https://in.investing.com/equities/trending-stocks,"An algorithmic analysis of stock market trends; providing popularity based sector data, quotes and news for a top selection of buzz generating stocks."
31,Tickertape - Best financial tools in the market to analyze and ...,https://www.tickertape.in/,"Track market sentiment, analyze stocks and enhance your portfolio. Screen stocks and filter by PE ratio, market cap, dividend yield and 120 other filters."
32,"Investing.com: Stocks, Finance, Markets & News - Apps on ...",https://play.google.com/store/apps/details?id=com.fusionmedia.investing&hl=en_US,Join the millions of people using the Investing.com app every day to stay on top of global financial markets! Investing.com offers a set of financial informational ...
33,Stock Market Data - Business - CNN.com,https://money.cnn.com/data/markets/,Your Privacy. For California Residents Only Pursuant to the California Consumer Privacy Act (CCPA) The WarnerMedia family of brands uses data collected ...
